cpu_name,cpu_cpu_mark_1,cpu_cpu_mark_2,cpu_cpu_mark_3,cpu_cpu_mark_4
Intel Celeron N4505,108.0,204.0,660.0,1239.0
Intel Celeron N4020,78.93,144.07,475.0,858.0
Intel Celeron N4000,70.9,138.0,433.5,801.5
AMD A6-5200,42.4,156.0,248.0,831.5
Intel Pentium N3710,41.0,145.0,,
AMD A4-5150M,59.1,100.95,454.0,633.0
Intel Pentium N3530,39.0,130.5,,
Intel Pentium N3520,38.0,144.0,,
AMD E2-9010,53.0,91.0,,
AMD A4-6210,37.5,134.5,,
Intel Atom Z3795,37.0,131.0,,
Intel Atom x5-Z8500,35.5,106.5,,
Intel Celeron 2957U,55.0,105.0,,
Intel Celeron N3350,46.0,85.0,320.0,605.5
Intel Celeron N2930,35.0,129.0,,
Intel Celeron N2920,32.5,118.5,,
Intel Atom x5-Z8350,28.0,97.0,,
AMD E2-3800,28.0,103.0,,
AMD A6 Pro-7050B,49.5,81.5,,
AMD A6-9220e,31.0,86.0,,
Intel Celeron N2910,27.0,97.0,,
AMD A4 Micro-6400T,34.0,95.0,,
Intel Celeron N2820,37.9,58.0,,
Intel Celeron N2815,32.5,55.5,,
Intel Pentium 2129Y,39.0,72.0,,
AMD E1-2500,27.0,44.0,,
Intel Celeron N2807,35.0,65.0,,
Intel Celeron N2805,24.0,44.0,,
AMD E1-2100,20.0,36.0,125.0,238.5
Intel Core i5-9400H,,823.0,,
Intel Core i7-5850HQ,,667.0,,
Intel Core i5-3380M,,278.0,,
Intel Celeron 4205U,,136.0,,
Intel Core i3-3227U,,175.0,,
Intel Xeon E-2186M,,1098.0,1248.0,5239.0
Intel Core i7-5950HQ,,748.0,,
Intel Core i7-4960HQ,,632.0,,
Intel Celeron 3867U,,134.0,434.0,873.0
AMD A9-9420e,,97.0,,
AMD Ryzen 7 5800HS,,,1380.0,7454.0
Intel Core i5-10200H,,,1093.0,4126.0
Intel Core i5-9300HF,,,1090.0,4370.0
Apple A15 Bionic,,,1738.0,4819.0
Intel Core i7-1060G7,,,1167.0,2322.0
AMD Ryzen 3 5400U,,,1170.0,3095.0
