name,gpu_mark_1,gpu_mark_2,gpu_mark_3,gpu_mark_4
AMD Radeon RX Vega M GL / 870,7329.0,9862.0,7329.0,16707.0
AMD Radeon R9 M295X,6590.5,8850.5,6590.5,35421.0
NVIDIA GeForce GTX 1050 Mobile,6066.0,7678.5,6066.0,25817.0
AMD Radeon R9 M395,6819.0,8656.0,6819.0,
NVIDIA GeForce GTX 1050 Max-Q,5649.5,7153.5,5649.5,19690.5
NVIDIA Quadro K5100M,4793.0,6880.0,4793.0,24910.0
AMD Radeon RX 560X (Laptop),6329.0,8211.5,6329.0,25527.0
NVIDIA Quadro M2200,5850.0,7372.0,5850.0,28149.5
AMD Radeon R9 M290X,5294.0,6817.0,5294.0,
NVIDIA GeForce GTX 765M SLI,5073.0,7944.0,5073.0,25703.0
NVIDIA GeForce GTX 680M,4049.0,5897.5,4049.0,22760.0
Intel Iris Xe MAX Graphics,6333.0,8214.0,6333.0,22466.0
AMD Radeon HD 7970M,4694.0,5645.0,4694.0,22370.5
AMD Radeon Pro 560,3892.0,5305.0,3892.0,24516.0
Intel Iris Xe Graphics G7 96EUs,5107.0,6613.0,5107.0,27110.0
NVIDIA GeForce GTX 960M,4318.0,5278.0,4318.0,23733.0
NVIDIA Quadro P620,4672.5,5909.0,4672.5,35092.0
AMD Radeon RX 550 (Laptop),3645.0,4559.0,3645.0,23308.0
AMD Radeon Pro WX 3200,3156.0,4337.5,3156.0,16329.0
AMD Radeon Pro 455,3759.0,5388.0,3759.0,25873.0
NVIDIA GeForce MX250,3660.0,4633.0,3660.0,25428.5
NVIDIA GeForce MX150,3488.0,4494.0,3488.0,19312.5
NVIDIA Quadro M2000M,4157.0,5143.0,4157.0,25604.0
NVIDIA Quadro K4100M,3654.0,4957.0,3654.0,25559.5
AMD Radeon RX 540,3686.0,4646.0,3686.0,15818.0
NVIDIA GeForce GTX 860M,3904.0,4902.0,3904.0,23220.5
NVIDIA GeForce GTX 675MX,2831.0,3978.5,2831.0,23190.0
NVIDIA GeForce GTX 950M,3200.0,4367.0,3200.0,21645.0
AMD Radeon 540X,2779.0,4097.0,2779.0,16578.0
NVIDIA Quadro P520,3217.5,4185.5,3217.5,18941.5
NVIDIA Quadro M1000M,3497.5,4229.5,3497.5,24483.0
AMD Radeon RX Vega 11,3494.0,5482.75,3494.0,20608.0
NVIDIA GeForce 945M,2850.0,3309.5,2850.0,20209.0
NVIDIA Quadro K4000M,2199.0,3466.0,2199.0,20518.0
Intel Iris Plus Graphics G7 (Ice Lake 64 EU),2743.0,4222.0,2743.0,16163.5
Intel Iris Pro Graphics 580,1903.0,3220.0,1903.0,
AMD Radeon R9 M470,3655.0,,3655.0,
AMD FirePro W5170M,2909.0,4197.0,2909.0,
NVIDIA GeForce GTX 670MX,2371.0,3587.0,2371.0,20268.0
AMD Radeon R9 M275,1885.0,3261.0,1885.0,10378.0
AMD Radeon RX Vega 9,2789.0,4380.0,2789.0,13365.0
AMD FirePro W5130M,2110.0,3106.0,2110.0,15680.0
Intel UHD Graphics Xe G4 48EUs,2250.0,3510.0,2250.0,11040.0
Intel UHD Graphics Xe 750 32EUs (Rocket Lake),2188.0,2817.5,2188.0,17496.5
AMD Radeon RX Vega 8 (Ryzen 5000),3797.5,6100.5,3797.5,27550.5
AMD Radeon RX Vega 8 (Ryzen 4000),3623.5,5680.0,3623.5,22966.0
NVIDIA GeForce GT 755M,2105.5,2800.5,2105.5,15861.0
NVIDIA GeForce 845M,2362.0,2973.0,2362.0,
AMD Radeon R9 M265X,1997.0,2633.0,1997.0,15426.0
AMD Radeon HD 8790M,1727.0,2186.5,1727.0,13118.0
NVIDIA GeForce GT 750M,1574.0,2543.0,1574.0,13670.0
NVIDIA GeForce MX130,2345.0,2875.0,2345.0,18080.0
NVIDIA Quadro M520,2342.0,2658.0,2342.0,17305.0
AMD Radeon RX Vega 8 (Ryzen 2000/3000),2344.0,3543.5,2344.0,12213.5
NVIDIA GeForce 940M,1622.0,2405.5,1622.0,11920.0
NVIDIA GeForce 930MX,1597.0,2201.5,1597.0,12695.0
AMD FirePro W4190M,1745.0,2351.0,1745.0,12929.0
Intel Iris Plus Graphics 655,1959.0,2947.0,1959.0,17176.0
AMD Radeon R7 M370,1760.0,2524.0,1760.0,12983.0
NVIDIA Quadro K620M,1621.0,2434.0,1621.0,10912.0
NVIDIA GeForce 840M,1573.0,2340.0,1573.0,10332.0
NVIDIA GeForce GT 745M,1531.0,2249.0,1531.0,13462.5
NVIDIA GeForce GT 740M,1150.5,1848.0,1150.5,9700.0
NVIDIA GeForce 930M,1460.5,2153.0,1460.5,11760.0
AMD Radeon 530,1542.0,2327.0,1542.0,11481.0
Intel Iris Plus Graphics 645,1893.0,2985.0,1893.0,
NVIDIA GeForce MX110,1714.0,2121.0,1714.0,14612.0
NVIDIA GeForce 920MX,1448.0,1835.0,1448.0,12205.5
NVIDIA Quadro K2000M,1046.0,1798.0,1046.0,11991.0
NVIDIA GeForce 825M,1150.0,1756.5,1150.0,9290.0
AMD Radeon R7 M260X,1396.0,1903.0,1396.0,11820.0
NVIDIA GeForce GT 730M,1061.0,1722.0,1061.0,10333.0
AMD FirePro M4100,857.0,1728.0,857.0,9320.0
AMD Radeon R7 M270,1258.0,1857.5,1258.0,9791.5
AMD Radeon R7 (Bristol Ridge),1013.0,1852.0,1013.0,6644.5
AMD Radeon R7 (Carrizo),1137.0,1792.0,1137.0,6528.0
AMD Radeon R8 M365DX,1902.0,2862.5,1902.0,8708.5
AMD Radeon R7 M360,1146.0,2029.0,1146.0,8273.5
AMD Radeon HD 8690M,1210.0,1600.0,1210.0,9413.0
